epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
37,2020-09-11,164,MA,Açailândia,2100055,city,3211,2855.6183,25,84,1,0.0262,112445,True,False
37,2020-09-11,116,MA,Afonso Cunha,2100105,city,151,2314.53096,0,2,0,0.0132,6524,True,False
37,2020-09-11,128,MA,Água Doce do Maranhão,2100154,city,639,5083.12783,0,5,0,0.0078,12571,True,False
37,2020-09-11,147,MA,Alcântara,2100204,city,137,619.99366,85,7,0,0.0511,22097,True,False
37,2020-09-11,134,MA,Aldeias Altas,2100303,city,874,3294.13538,4,4,0,0.0046,26532,True,False
37,2020-09-11,153,MA,Altamira do Maranhão,2100402,city,270,3321.85039,1,5,0,0.0185,8128,True,False
37,2020-09-11,137,MA,Alto Alegre do Maranhão,2100436,city,348,1286.3638,0,11,0,0.0316,27053,True,False
37,2020-09-11,141,MA,Alto Alegre do Pindaré,2100477,city,1383,4332.84251,0,19,0,0.0137,31919,True,False
37,2020-09-11,121,MA,Alto Parnaíba,2100501,city,270,2412.86863,8,2,0,0.0074,11190,True,False
37,2020-09-11,130,MA,Amapá do Maranhão,2100550,city,3,43.09107,0,0,0,0.0,6962,True,False
37,2020-09-11,137,MA,Amarante do Maranhão,2100600,city,923,2227.58537,0,18,0,0.0195,41435,True,False
37,2020-09-11,146,MA,Anajatuba,2100709,city,332,1238.66731,0,8,0,0.0241,26803,True,False
37,2020-09-11,132,MA,Anapurus,2100808,city,710,4513.09433,0,6,0,0.0085,15732,True,False
37,2020-09-11,134,MA,Apicum-Açu,2100832,city,197,1142.7577,0,3,0,0.0152,17239,True,False
37,2020-09-11,136,MA,Araguanã,2100873,city,528,3422.79269,0,2,0,0.0038,15426,True,False
37,2020-09-11,127,MA,Araioses,2100907,city,574,1236.00345,5,10,0,0.0174,46440,True,False
37,2020-09-11,128,MA,Arame,2100956,city,903,2761.38344,2,9,0,0.01,32701,True,False
37,2020-09-11,147,MA,Arari,2101004,city,197,660.01072,0,9,0,0.0457,29848,True,False
37,2020-09-11,135,MA,Axixá,2101103,city,133,1096.45507,0,3,0,0.0226,12130,True,False
37,2020-09-11,149,MA,Bacabal,2101202,city,3230,3077.68535,2,50,0,0.0155,104949,True,False
37,2020-09-11,149,MA,Bacabeira,2101251,city,147,861.91733,0,2,0,0.0136,17055,True,False
37,2020-09-11,123,MA,Bacuri,2101301,city,412,2217.19944,0,3,0,0.0073,18582,True,False
37,2020-09-11,121,MA,Bacurituba,2101350,city,44,779.58894,2,0,0,0.0,5644,True,False
37,2020-09-11,145,MA,Balsas,2101400,city,6039,6364.41241,61,45,1,0.0075,94887,True,False
37,2020-09-11,127,MA,Barão de Grajaú,2101509,city,16,85.01594,0,1,0,0.0625,18820,True,False
37,2020-09-11,131,MA,Barra do Corda,2101608,city,3630,4115.08638,36,29,0,0.008,88212,True,False
37,2020-09-11,148,MA,Barreirinhas,2101707,city,863,1380.18168,14,23,0,0.0267,62528,True,False
37,2020-09-11,127,MA,Belágua,2101731,city,247,3307.00228,0,1,0,0.004,7469,True,False
37,2020-09-11,135,MA,Bela Vista do Maranhão,2101772,city,127,1133.01811,0,3,0,0.0236,11209,True,False
37,2020-09-11,113,MA,Benedito Leite,2101806,city,176,3125.0,5,0,0,0.0,5632,True,False
37,2020-09-11,135,MA,Bequimão,2101905,city,212,996.2406,0,11,0,0.0519,21280,True,False
37,2020-09-11,121,MA,Bernardo do Mearim,2101939,city,49,810.85554,0,3,0,0.0612,6043,True,False
37,2020-09-11,127,MA,Boa Vista do Gurupi,2101970,city,13,139.98062,0,3,0,0.2308,9287,True,False
37,2020-09-11,138,MA,Bom Jardim,2102002,city,869,2087.43694,15,22,0,0.0253,41630,True,False
37,2020-09-11,129,MA,Bom Jesus das Selvas,2102036,city,1576,4631.47996,7,10,0,0.0063,34028,True,False
37,2020-09-11,134,MA,Bom Lugar,2102077,city,257,1577.26771,0,1,0,0.0039,16294,True,False
37,2020-09-11,139,MA,Brejo,2102101,city,671,1843.55854,0,18,0,0.0268,36397,True,False
37,2020-09-11,117,MA,Brejo de Areia,2102150,city,201,2187.63605,0,1,0,0.005,9188,True,False
37,2020-09-11,132,MA,Buriti,2102200,city,589,2053.83918,2,1,0,0.0017,28678,True,False
37,2020-09-11,126,MA,Buriti Bravo,2102309,city,399,1670.57444,63,1,0,0.0025,23884,True,False
37,2020-09-11,139,MA,Buriticupu,2102325,city,2195,3033.52774,1,4,0,0.0018,72358,True,False
37,2020-09-11,133,MA,Buritirana,2102358,city,236,1529.48801,0,6,0,0.0254,15430,True,False
37,2020-09-11,155,MA,Cachoeira Grande,2102374,city,171,1813.16934,0,4,0,0.0234,9431,True,False
