Data da Realização;Total Realizado por Dia;Acumulado por dia;;;;;;;;;;
18/abr;-;4.214;;;;;;;;;;
19/abr;183;4.397;;;;;;;;;;
20/abr;199;4.596;;;;;;;;;;
21/abr;409;5.005;;;;;;;;;;
22/abr;218;5.223;;;;;;;;;;
23/abr;414;5.637;;;;;;;;;;
24/abr;326;5.963;;;;;;;;;;
25/abr;151;6.114;;;;;;;;;;
26/abr;251;6.365;;;;;;;;;;
27/abr;165;6.530;;;;;;;;;;
28/abr;369;6.899;;;;;;;;;;
29/abr;456;7.355;;;;;;;;;;
30/abr;482;7.837;;;;;;;;;;
01/mai;416;8.253;;;;;;;;;;
02/mai;516;8.769;;;;;;;;;;
03/mai;549;9.318;;;;;;;;;;
04/mai;656;9.974;;;;;;;;;;
05/mai;908;10.882;;;;;;;;;;
06/mai;702;11.584;;;;;;;;;;
07/mai;995;12.579;;;;;;;;;;
08/mai;1502;14.081;;;;;;;;;;
09/mai;1417;15.498;;;;;;;;;;
10/mai;1014;16.512;;;;;;;;;;
11/mai;523;17.035;;;;;;;;;;
12/mai;984;18.019;;;;;;;;;;
13/mai;1174;19.193;;;;;;;;;;
14/mai;1594;20.787;;;;;;;;;;
15/mai;2005;22.792;;;;;;;;;;
16/mai;1316;24.108;;;;;;;;;;
17/mai;1230;25.338;;;;;;;;;;
18/mai;1376;26.714;;;;;;;;;;
19/mai;1464;28.178;;;;;;;;;;
20/mai;1311;29.489;;;;;;;;;;
21/mai;1560;31.049;;;;;;;;;;
22/mai;2228;33.277;;;;;;;;;;
23/mai;3022;36.299;;;;;;;;;;
24/mai;2207;38.506;;;;;;;;;;
25/mai;2056;40.562;;;;;;;;;;
26/mai;3135;43.697;;;;;;;;;;
27/mai;2579;46.276;;;;;;;;;;
28/mai;3216;49.492;;;;;;;;;;
29/mai;2520;52.012;;;;;;;;;;
30/mai;2945;54.957;;;;;;;;;;
31/mai;1220;56.177;;;;;;;;;;
01/jun;2797;58.974;;;;;;;;;;
02/jun;2036;61.010;;;;;;;;;;
03/jun;5707;66.717;;;;;;;;;;
04/jun;3456;70.173;;;;;;;;;;
05/jun;2865;73.038;;;;;;;;;;
06/jun;3745;76.783;;;;;;;;;;
